stop_id,stop_name,stop_lat,stop_lon
000003741,"Gröben, Kindertagesstätte",51.123301,12.045840
000003742,"Röcken, Schulbushaltestelle",51.241244,12.116357
000003743,"Taucha (Lützen), Schulbushaltstelle",51.192572,12.078741
000003744,"Leipzig, Porsche/Tor 1",51.410368,12.295383
000003780,"Leipzig, Am Viadukt",51.373327,12.327300
000003791,"Halle (Saale), Orionstr.",51.477903,12.086460
000003792,"Halle (Saale), Greatview",51.483498,12.074410
000003794,"Halle (Saale), Uralitastr.",51.484805,12.093421
000003824,"Altgroitzschen (Kretzschau)",51.061545,12.077838
000003849,"Markkleeberg, Gaschwitz, Friedhof",51.254583,12.379939
000003850,"Zöbigker (Markkleeberg), An der Harth",51.262501,12.365128
000003851,"Markkleeberg, Ost, Auenplatz",51.277172,12.392939
000003853,"Markkleeberg, Städtelner Str.",51.271043,12.371071
000003854,"Markkleeberg, West, Wasserturmstr.",51.274300,12.367869
000003862,"Leipzig, Bei der Krähenhütte",51.287308,12.398448
000003863,"Leipzig, Johannishöhe",51.286673,12.407291
000003864,"Markkleeberg, S-Bahnhof Nord (Bus)",51.287987,12.372184
000003865,"Leipzig, Matzelstr.",51.289398,12.390242
000003866,"Leipzig, Springerstr.",51.355066,12.370306
000003867,"Leipzig, Zum Dölitzer Schacht",51.286954,12.401963
000003909,"Röblingen am See, Stedtener Str.",51.455165,11.666945
000003912,"Querfurt, Gekra",51.384811,11.614487
000003913,"Querfurt, Gewerbegebiet",51.372444,11.604230
000003933,"Halle (Saale), Elsa-Brändström-Str.",51.450106,11.973740
000003934,"Halle (Saale), Neues Theater",51.484868,11.969004
000003935,"Halle (Saale), Nelkenstr.",51.494852,11.908972
000003936,"Döllnitz (b. Halle), Berliner Str.",51.407521,12.027572
000003937,"Halle (Saale), Betriebshof Freiimfelder Str.",51.484824,11.994749
000003938,"Halle (Saale), Richard-Loesche-Str.",51.420498,12.007565
000003939,"Halle (Saale), Cossebauder Weg",51.490644,12.013926
000003940,"Halle (Saale), Betriebshof Rosengarten",51.438595,11.984112
000003941,"Halle (Saale), Rudolf-Ernst-Weise-Str.",51.474116,11.986633
000003942,"Merseburg, Am Stadtpark",51.373716,11.995014
000003943,"Halle (Saale), BG Klinikum Bergmannstrost",51.459992,11.983810
000003944,"Halle (Saale), Suhler Str.",51.494129,12.006350
000003945,"Halle (Saale), Straßburger Weg",51.498325,11.935539
000003946,"Halle (Saale), Mark-Twain-Str.",51.479018,11.908323
000003947,"Halle (Saale), Eisenbahnstr.",51.432095,11.988665
000003948,"Schkopau, Ludwig-Uhland-Str.",51.386959,11.985907
000003949,"Halle (Saale), Lieskauer Str.",51.506903,11.875350
000003950,"Halle (Saale), Friesenstr.",51.489842,11.980245
000003951,"Halle (Saale), Tornau, Kirschallee",51.529257,12.004226
000003952,"Halle (Saale), Dorflage Büschdorf",51.477195,12.031655
000003955,"Halle (Saale), Gertraudenfriedhof",51.504511,11.989227
000003956,"Halle (Saale), Apoldaer Str./Birkhahnweg",51.494739,12.007470
000003957,"Halle (Saale), Kantstr.",51.466494,11.969941
000003958,"Halle (Saale), Knolls Hütte",51.509923,11.903824
000003960,"Halle (Saale), Osendorf",51.423417,12.012934
000004025,"Grana (b. Zeitz), Gewerbegebiet",51.055052,12.101689
000004026,"Näthern (Kretzschau)",51.055087,12.097297
000004027,"Döschwitz",51.063540,12.059063
000004028,"Grana (b. Zeitz)",51.053509,12.107278
000004029,"Zeitz, Michaeliskirche",51.050181,12.134230
000004030,"Zeitz, Kalktor",51.047328,12.139044
000004031,"Luckenau, Dreieck",51.088191,12.075653
000004032,"Luckenau (Bus)",51.085636,12.085577
000004033,"Reußen (Theißen)",51.084377,12.101553
000004034,"Theißen, Feuerwehr",51.083899,12.107674
000004035,"Zeitz, Donaliesstr.",51.059232,12.132687
000004036,"Zeitz, Weißenfelser Str.",51.061559,12.129734
000004037,"Zeitz, August-Dietzschold-Str.",51.065593,12.124498
000004038,"Zeitz, Käthe-Kollwitz-Siedlung",51.068554,12.122372
000004039,"Theißen, Abzweig 397",51.079609,12.113453
000004040,"Theißen, Globus",51.083760,12.110206
000004041,"Theißen, Markt",51.086671,12.108260
000004044,"Tackau (Deuben)",51.117083,12.076587
000004045,"Zeitz, Schützenplatz",51.050542,12.144226
000004046,"Oberkaka (Unterkaka)",51.086414,11.964595
000004047,"Pretzsch (Burgenlandkreis)",51.094846,11.948357
000004049,"Görschen",51.111851,11.900847
000004050,"Scheiplitz, Rathewitzer Str. (Görschen)",51.121859,11.886659
000004051,"Rathewitz, Neubau (Görschen)",51.121522,11.879538
000004052,"Rathewitz, Ort (Görschen)",51.119834,11.874347
000004053,"Mertendorf, Schule",51.118556,11.860110
000004054,"Mertendorf (Bus)",51.121099,11.857567
000004055,"Wethau, Mitte",51.137203,11.858648
000004056,"Weichau (Naumburg)",51.144802,11.834590
000004057,"Naumburg (Saale), Weißenfelser Str./Friedhof",51.147288,11.825865
000004058,"Naumburg (Saale), Weißenfelser Str./Kaserne",51.147831,11.823111
000004059,"Wethau, Bahnhof (Bus)",51.139695,11.850841
000004060,"Meineweh",51.074927,11.989151
000004061,"Zeitz, Berufsschulzentrum",51.058045,12.126344
000004062,"Görschen, Abzweig",51.112561,11.909162
000004064,"Naumburg (Saale), Waldschloss",51.135584,11.809001
000004065,"Zeitz, Kleefeldplatz",51.044229,12.144911
000004066,"Zeitz, Abzweig Bergsiedlung",51.039981,12.153066
000004067,"Grundhof (Würchwitz)",51.031841,12.190872
000004068,"Stockhausen (Würchwitz)",51.034166,12.198233
000004069,"Hollsteitz, Abzweig (Döschwitz)",51.074363,12.033002
000004071,"Geußnitz",51.016883,12.184127
000004072,"Wildenborn (Geußnitz)",51.002187,12.195461
000004073,"Lindenberg (Kayna)",50.996383,12.209682
000004074,"Kayna, Bahnhof (Bus)",50.994575,12.231528
000004075,"Kayna, Waldbad",50.989812,12.230798
000004076,"Roda (Kayna)",50.981238,12.229020
000004077,"Mahlen, Abzweig (Kayna)",50.975679,12.227807
000004078,"Weißenborn (Schnaudertal)",50.969781,12.223866
000004079,"Bröckau",50.963156,12.212059
000004080,"Zangenberg (Zeitz)",51.072819,12.153715
000004081,"Bornitz (b. Zeitz)",51.088463,12.169386
000004082,"Draschwitz (Elsteraue)",51.100639,12.180916
000004083,"Reuden (b. Zeitz), Gemeinde",51.110934,12.193451
000004084,"Predel (Reuden)",51.116314,12.198594
000004085,"Predel, Gärtnerei (Reuden)",51.120987,12.206218
000004086,"Profen, Zeitzer Str.",51.127297,12.213500
000004087,"Profen, Sparkasse",51.129995,12.218060
000004091,"Oelsen (Spora)",51.032319,12.248202
000004093,"Prehlitz (Spora)",51.029834,12.273096
000004096,"Zeitz, Brühlcenter",51.050258,12.128686
000004097,"Bornitz (b. Zeitz), Kindergarten",51.090503,12.173395
000004098,"Draschwitz (Elsteraue), Ort",51.099424,12.181932
000004099,"Reuden (b. Zeitz), Schule",51.108052,12.190653
000004100,"Profen, Ort",51.125621,12.215927
000004101,"Profen, Klubhaus",51.127804,12.200946
000004102,"Zeitz, Platanenweg",51.040481,12.150533
000004103,"Zeitz, Waldschlößchen",51.065819,12.142893
000004105,"Jüdendorf (Steigra)",51.310954,11.691863
000004107,"Steigra",51.299592,11.660292
000004108,"Barnstädt",51.344441,11.638658
000004109,"Querfurt, Bauhof",51.385099,11.613282
000004110,"Pirkau (Nonnewitz)",51.099029,12.139406
000004111,"Stolzenhain (Weißenborn)",51.030548,11.971434
000004112,"Weißenborn (Droyßig)",51.033729,11.992272
000004113,"Hassel (Droyßig)",51.040022,12.007368
000004114,"Droyßig, Busplatz",51.039001,12.030519
000004115,"Kretzschau, Schule",51.055772,12.073089
